species,longitude,latitude
Begonia calcarea Ridl.,110.271389,1.198056
Begonia calcarea Ridl.,114.5,1.566667
Begonia calcarea Ridl.,113.6999969,2.133333445
Begonia calcarea Ridl.,110.28,1.2
Begonia calcarea Ridl.,109.3968,0.648611
Begonia calcarea Ridl.,109.874729,1.10298
Begonia calcarea Ridl.,110.2659988,1.215999961
Begonia calcarea Ridl.,113.06,3.08
Begonia calcarea Ridl.,112.083621,1.709617
Begonia calcarea Ridl.,111.994167,1.39
Begonia calcarea Ridl.,114.1829987,3.349999905
Begonia calcarea Ridl.,112.9164399,2.9688436
Begonia calcarea Ridl.,112.9164399,2.9688436
Begonia calcarea Ridl.,110.216944,1.116667
Begonia calcarea Ridl.,112.2192,1.6372
Begonia calcarea Ridl.,112.2314,1.6569
